,Rank,Participant,Result,Event,Year
386,6.0,Dionne BAINBRIDGE  NZL,4.16.79,400m-freestyle-women,1996
387,7.0,Hayley LEWIS  AUS,4.16.92,400m-freestyle-women,1996
388,8.0,Carla-Creola NEGREA  ROU,4.17.08,400m-freestyle-women,1996
389,G,Michelle SMITH  IRL,2.13.93,200m-individual-medley-women,1996
390,S,Marianne LIMPERT  CAN,2.14.35,200m-individual-medley-women,1996
391,B,Li LIN  CHN,2.14.74,200m-individual-medley-women,1996
392,4.,Joanne MALAR  CAN,2.15.30,200m-individual-medley-women,1996
393,5.,Elli OVERTON  AUS,2.16.04,200m-individual-medley-women,1996
394,6.,Allison WAGNER  USA,2.16.43,200m-individual-medley-women,1996
395,7.,Minouche SMIT  NED,2.16.73,200m-individual-medley-women,1996
396,8.,Louise KARLSSON  SWE,2.17.25,200m-individual-medley-women,1996
397,G,Brooke BENNETT  USA,8.27.89,800m-freestyle-women,1996
398,S,Dagmar HASE  GER,8.29.91,800m-freestyle-women,1996
399,B,Kirsten VLIEGHUIS  NED,8.30.84,800m-freestyle-women,1996
400,4.,Kerstin KIELGASS  GER,8.31.06,800m-freestyle-women,1996
401,5.,Irene DALBY  NOR,8.38.34,800m-freestyle-women,1996
402,6.,Janet EVANS  USA,8.38.91,800m-freestyle-women,1996
403,7.,Carla GEURTS  NED,8.40.43,800m-freestyle-women,1996
404,8.,Sarah HARDCASTLE  GBR,8.41.75,800m-freestyle-women,1996
405,G,Frederik DEBURGHGRAEVE  BEL,1.00.65,100m-breaststroke-men,1996
406,S,Jeremy LINN  USA,1.00.77,100m-breaststroke-men,1996
407,B,Mark WARNECKE  GER,1.01.33,100m-breaststroke-men,1996
408,4.,Károly GUTTLER  HUN,1.01.49,100m-breaststroke-men,1996
409,5.,Phil ROGERS  AUS,1.01.64,100m-breaststroke-men,1996
410,6.,Kurt GROTE  USA,1.01.69,100m-breaststroke-men,1996
411,7.,Qiliang ZENG  CHN,1.02.01,100m-breaststroke-men,1996
412,8.,Stanislav LOPUKHOV  RUS,1.02.13,100m-breaststroke-men,1996
413,G,Penelope HEYNS  RSA,1.07.73,100m-breaststroke-women,1996
414,S,Amanda BEARD  USA,1.08.09,100m-breaststroke-women,1996
415,B,Samantha RILEY  AUS,1.09.18,100m-breaststroke-women,1996
416,4.,Svitlana BONDARENKO  UKR,1.09.21,100m-breaststroke-women,1996
417,5.,Vera LISCHKA  AUT,1.09.24,100m-breaststroke-women,1996
418,6.,Guylaine CLOUTIER  CAN,1.09.40,100m-breaststroke-women,1996
419,7.,Ágnes KOVÁCS  HUN,1.09.55,100m-breaststroke-women,1996
420,8.,Brigitte BECUE  BEL,1.09.79,100m-breaststroke-women,1996
421,1.0,Lena ERIKSSON  SWE,2.28.87,200m-breaststroke-women,1996
422,2.0,Kyoko IWASAKI  JPN,2.29.32,200m-breaststroke-women,1996
423,3.0,Lenka MANHALOVA  CZE,2.29.96,200m-breaststroke-women,1996
424,4.0,Julia RUSSELL  RSA,2.30.38,200m-breaststroke-women,1996
425,5.0,Alicja PECZAK  POL,2.30.99,200m-breaststroke-women,1996
426,6.0,Marie HARDIMAN  GBR,2.31.39,200m-breaststroke-women,1996
427,7.0,Jilen SIROKY  USA,2.33.43,200m-breaststroke-women,1996
428,8.0,Li LIN  CHN,2.33.45,200m-breaststroke-women,1996
429,G,Amy VAN DYKEN  USA,59.13,100m-butterfly-women,1996
430,S,Limin LIU  CHN,59.14,100m-butterfly-women,1996
431,B,Angel MARTINO  USA,59.23,100m-butterfly-women,1996
432,4.,Hitomi KASHIMA  JPN,1.00.11,100m-butterfly-women,1996
433,5.,Susan O'NEILL  AUS,1.00.17,100m-butterfly-women,1996
434,6.,Ayari AOYAMA  JPN,1.00.18,100m-butterfly-women,1996
435,7.,Huijue CAI  CHN,1.00.46,100m-butterfly-women,1996
436,8.,Mette JACOBSEN  DEN,1.00.76,100m-butterfly-women,1996
437,G,United States of America,7.59.87,4x200m-freestyle-relay-women,1996
438,S,Germany,8.01.55,4x200m-freestyle-relay-women,1996
439,B,Australia,8.05.47,4x200m-freestyle-relay-women,1996
440,4.,Japan,8.07.46,4x200m-freestyle-relay-women,1996
441,5.,Canada,8.08.16,4x200m-freestyle-relay-women,1996
442,6.,Netherlands,8.08.48,4x200m-freestyle-relay-women,1996
443,7.,Romania,8.10.02,4x200m-freestyle-relay-women,1996
444,8.,People's Republic of China,8.15.38,4x200m-freestyle-relay-women,1996
445,G,Ian THORPE  AUS,03.40.59,400m-freestyle-men,2000
446,S,Massimiliano ROSOLINO  ITA,03.43.40,400m-freestyle-men,2000
447,B,Klete KELLER  USA,03.47.00,400m-freestyle-men,2000
448,4.,Emiliano BREMBILLA  ITA,03.47.01,400m-freestyle-men,2000
449,5.,Dragos COMAN  ROU,03.47.38,400m-freestyle-men,2000
450,6.,Chad CARVIN  USA,03.47.58,400m-freestyle-men,2000
451,7.,Grant HACKETT  AUS,03.48.22,400m-freestyle-men,2000
452,8.,Ryk NEETHLING  RSA,03.48.52,400m-freestyle-men,2000
453,G,Domenico FIORAVANTI  ITA,02.10.87,200m-breaststroke-men,2000
454,S,Terence PARKIN  RSA,02.12.50,200m-breaststroke-men,2000
455,B,Davide RUMMOLO  ITA,02.12.73,200m-breaststroke-men,2000
456,4.,Regan HARRISON  AUS,02.12.88,200m-breaststroke-men,2000
457,5.,Daniel MALEK  CZE,02.13.20,200m-breaststroke-men,2000
458,6.,Kyle SALYARDS  USA,02.13.27,200m-breaststroke-men,2000
459,7.,Yohan BERNARD  FRA,02.13.31,200m-breaststroke-men,2000
460,8.,Ryan MITCHELL  AUS,02.14.00,200m-breaststroke-men,2000
461,G,Lars FRÖLANDER  SWE,52.0,100m-butterfly-men,2000
462,S,Michael KLIM  AUS,52.18,100m-butterfly-men,2000
463,B,Geoff HUEGILL  AUS,52.22,100m-butterfly-men,2000
464,4.,Ian CROCKER  USA,52.44,100m-butterfly-men,2000
465,5.,Takashi YAMAMOTO  JPN,52.58,100m-butterfly-men,2000
466,5.,Michael MINTENKO  CAN,52.58,100m-butterfly-men,2000
467,7.,Thomas RUPPRATH  GER,53.13,100m-butterfly-men,2000
468,7.,Anatoli POLIAKOV  RUS,53.13,100m-butterfly-men,2000
469,G,Tom MALCHOW  USA,01.55.35,200m-butterfly-men,2000
470,S,Denys SYLANT'YEV  UKR,01.55.76,200m-butterfly-men,2000
471,B,Justin NORRIS  AUS,01.56.17,200m-butterfly-men,2000
472,4.,Anatoli POLIAKOV  RUS,01.56.34,200m-butterfly-men,2000
473,5.,Michael PHELPS  USA,01.56.50,200m-butterfly-men,2000
474,6.,Stephen PARRY  GBR,01.57.01,200m-butterfly-men,2000
475,7.,Denis PANKRATOV  RUS,01.57.97,200m-butterfly-men,2000
476,8.,Franck ESPOSITO  FRA,01.58.39,200m-butterfly-men,2000
479,G,United States of America,03.33.73,4x100m-medley-relay-men,2000
480,S,Australia,03.35.27,4x100m-medley-relay-men,2000
481,B,Germany,03.35.88,4x100m-medley-relay-men,2000
482,4.,Netherlands,03.37.53,4x100m-medley-relay-men,2000
483,5.,Hungary,03.39.09,4x100m-medley-relay-men,2000
484,6.,Canada,03.39.88,4x100m-medley-relay-men,2000
485,7.,France,03.40.02,4x100m-medley-relay-men,2000
486,8.,Great Britain,03.40.19,4x100m-medley-relay-men,2000
487,G,Pieter VAN DEN HOOGENBAND  NED,48.3,100m-freestyle-men,2000
488,S,Alexander POPOV  RUS,48.69,100m-freestyle-men,2000
489,B,Gary Jr. HALL  USA,48.73,100m-freestyle-men,2000
490,4.,Michael KLIM  AUS,48.74,100m-freestyle-men,2000
491,5.,Neil WALKER  USA,49.09,100m-freestyle-men,2000
492,6.,Lars FRÖLANDER  SWE,49.22,100m-freestyle-men,2000
493,7.,Denis PIMANKOV  RUS,49.36,100m-freestyle-men,2000
494,8.,Chris FYDLER  AUS,49.44,100m-freestyle-men,2000
495,G,Australia,07.07.05,4x200m-freestyle-relay-men,2000
496,S,United States of America,07.12.64,4x200m-freestyle-relay-men,2000
497,B,Netherlands,07.12.70,4x200m-freestyle-relay-men,2000
498,4.,Italy,07.12.91,4x200m-freestyle-relay-men,2000
499,5.,Great Britain,07.12.98,4x200m-freestyle-relay-men,2000
500,6.,Germany,07.20.19,4x200m-freestyle-relay-men,2000
501,7.,Canada,07.21.92,4x200m-freestyle-relay-men,2000
502,8.,Russian Federation,07.24.37,4x200m-freestyle-relay-men,2000
503,G,Gary Jr. HALL  USA,21.98,50m-freestyle-men,2000
504,G,Anthony ERVIN  USA,21.98,50m-freestyle-men,2000
505,B,Pieter VAN DEN HOOGENBAND  NED,22.03,50m-freestyle-men,2000
506,4.,Lorenzo VISMARA  ITA,22.11,50m-freestyle-men,2000
507,5.,Bartosz KIZIEROWSKI  POL,22.22,50m-freestyle-men,2000
508,6.,Alexander POPOV  RUS,22.24,50m-freestyle-men,2000
509,7.,Mark FOSTER  GBR,22.41,50m-freestyle-men,2000
510,8.,Oleksandr VOLYNETS  UKR,22.51,50m-freestyle-men,2000
511,G,Lenny KRAYZELBURG  USA,53.72,100m-backstroke-men,2000
512,S,Matthew WELSH  AUS,54.07,100m-backstroke-men,2000
513,B,Stev THELOKE  GER,54.82,100m-backstroke-men,2000
514,4.,Josh WATSON  AUS,55.01,100m-backstroke-men,2000
515,5.,Bartosz KIZIEROWSKI  POL,55.04,100m-backstroke-men,2000
516,6.,Neil WALKER  USA,55.14,100m-backstroke-men,2000
517,7.,Steffen DRIESEN  GER,55.27,100m-backstroke-men,2000
518,8.,Eithan URBACH  ISR,55.74,100m-backstroke-men,2000
519,G,Diana MOCANU  ROU,01.00.21,100m-backstroke-women,2000
520,S,Mai NAKAMURA  JPN,01.00.55,100m-backstroke-women,2000
521,B,Nina ZHIVANEVSKAYA  ESP,01.00.89,100m-backstroke-women,2000
522,4.,Roxana MARACINEANU  FRA,01.01.10,100m-backstroke-women,2000
523,5.,Noriko INADA  JPN,01.01.14,100m-backstroke-women,2000
524,6.,B J BEDFORD  USA,01.01.47,100m-backstroke-women,2000
525,7.,Dyana CALUB  AUS,01.01.61,100m-backstroke-women,2000
526,8.,Louise ORNSTEDT  DEN,01.02.02,100m-backstroke-women,2000
527,G,Diana MOCANU  ROU,02.08.16,200m-backstroke-women,2000
528,S,Roxana MARACINEANU  FRA,02.10.25,200m-backstroke-women,2000
529,B,Miki NAKAO  JPN,02.11.05,200m-backstroke-women,2000
530,4.,Tomoko HAGIWARA  JPN,02.11.21,200m-backstroke-women,2000
531,5.,Amanda ADKINS  USA,02.12.35,200m-backstroke-women,2000
532,6.,Nina ZHIVANEVSKAYA  ESP,02.12.75,200m-backstroke-women,2000
533,7.,Antje BUSCHSCHULTE  GER,02.13.31,200m-backstroke-women,2000
534,8.,Kelly STEFANYSHYN  CAN,02.14.57,200m-backstroke-women,2000
535,G,United States of America,03.58.30,4x100m-medley-relay-women,2000
536,S,Australia,04.01.59,4x100m-medley-relay-women,2000
537,B,Japan,04.04.16,4x100m-medley-relay-women,2000
538,4.,Germany,04.04.33,4x100m-medley-relay-women,2000
539,5.,South Africa,04.05.15,4x100m-medley-relay-women,2000
540,6.,Canada,04.07.55,4x100m-medley-relay-women,2000
541,7.,Great Britain,04.07.61,4x100m-medley-relay-women,2000
542,8.,People's Republic of China,04.07.83,4x100m-medley-relay-women,2000
543,G,Inge DE BRUIJN  NED,24.32,50m-freestyle-women,2000
544,S,Therese ALSHAMMAR  SWE,24.51,50m-freestyle-women,2000
545,B,Dara TORRES  USA,24.63,50m-freestyle-women,2000
546,4.,Amy VAN DYKEN  USA,25.04,50m-freestyle-women,2000
547,5.,Martina MORAVCOVA  SVK,25.24,50m-freestyle-women,2000
548,6.,Sandra VÖLKER  GER,25.27,50m-freestyle-women,2000
549,7.,Alison SHEPPARD  GBR,25.45,50m-freestyle-women,2000
550,8.,Sumika MINAMOTO  JPN,25.65,50m-freestyle-women,2000
551,G,Pieter VAN DEN HOOGENBAND  NED,01.45.35,200m-freestyle-men,2000
552,S,Ian THORPE  AUS,01.45.83,200m-freestyle-men,2000
553,B,Massimiliano ROSOLINO  ITA,01.46.65,200m-freestyle-men,2000
554,4.,Josh DAVIS  USA,01.46.73,200m-freestyle-men,2000
555,5.,Paul PALMER  GBR,01.47.95,200m-freestyle-men,2000
556,6.,James SALTER  GBR,01.48.74,200m-freestyle-men,2000
557,7.,Rick SAY  CAN,01.48.76,200m-freestyle-men,2000
558,8.,Grant HACKETT  AUS,01.49.46,200m-freestyle-men,2000
559,G,Australia,03.13.67,4x100m-freestyle-relay-men,2000
560,S,United States of America,03.13.86,4x100m-freestyle-relay-men,2000
561,B,Brazil,03.17.40,4x100m-freestyle-relay-men,2000
562,4.,Germany,03.17.77,4x100m-freestyle-relay-men,2000
563,5.,Italy,03.17.85,4x100m-freestyle-relay-men,2000
564,6.,Sweden,03.19.60,4x100m-freestyle-relay-men,2000
565,7.,France,03.21.00,4x100m-freestyle-relay-men,2000
566,G,Lenny KRAYZELBURG  USA,01.56.76,200m-backstroke-men,2000
567,S,Aaron PEIRSOL  USA,01.57.35,200m-backstroke-men,2000
568,B,Matthew WELSH  AUS,01.57.59,200m-backstroke-men,2000
569,4.,Orn ARNARSON  ISL,01.59.00,200m-backstroke-men,2000
570,5.,Emanuele MERISI  ITA,01.59.01,200m-backstroke-men,2000
571,6.,Razvan Ionut FLOREA  ROU,01.59.05,200m-backstroke-men,2000
572,7.,Rogerio ROMERO  BRA,01.59.27,200m-backstroke-men,2000
573,8.,Gordan KOZULJ  CRO,01.59.38,200m-backstroke-men,2000
574,G,Massimiliano ROSOLINO  ITA,01.58.98,200m-individual-medley-men,2000
575,S,Tom DOLAN  USA,01.59.77,200m-individual-medley-men,2000
576,B,Tom WILKENS  USA,02.00.87,200m-individual-medley-men,2000
577,4.,Attila CZENE  HUN,02.01.16,200m-individual-medley-men,2000
578,5.,Marcel WOUDA  NED,02.01.48,200m-individual-medley-men,2000
579,6.,Christian KELLER  GER,02.02.02,200m-individual-medley-men,2000
580,7.,Xavier MARCHAND  FRA,02.02.23,200m-individual-medley-men,2000
581,8.,Jani SIEVINEN  FIN,02.02.49,200m-individual-medley-men,2000
582,G,Tom DOLAN  USA,04.11.76,400m-individual-medley-men,2000
583,S,Erik VENDT  USA,04.14.23,400m-individual-medley-men,2000
584,B,Curtis MYDEN  CAN,04.15.33,400m-individual-medley-men,2000
585,4.,Alessio BOGGIATTO  ITA,04.15.93,400m-individual-medley-men,2000
586,5.,Terence PARKIN  RSA,04.16.92,400m-individual-medley-men,2000
587,6.,Justin NORRIS  AUS,04.17.87,400m-individual-medley-men,2000
588,7.,Cezar BADITA  ROU,04.20.91,400m-individual-medley-men,2000
589,8.,Shinya TANIGUCHI  JPN,04.20.93,400m-individual-medley-men,2000
590,G,United States of America,03.36.61,4x100m-freestyle-relay-women,2000
591,S,Netherlands,03.39.83,4x100m-freestyle-relay-women,2000
592,B,Sweden,03.40.30,4x100m-freestyle-relay-women,2000
593,4.,Germany,03.40.31,4x100m-freestyle-relay-women,2000
594,5.,Great Britain,03.40.54,4x100m-freestyle-relay-women,2000
595,6.,Australia,03.40.91,4x100m-freestyle-relay-women,2000
596,7.,Canada,03.42.92,4x100m-freestyle-relay-women,2000
597,8.,Italy,03.44.49,4x100m-freestyle-relay-women,2000
598,G,Inge DE BRUIJN  NED,53.83,100m-freestyle-women,2000
599,S,Therese ALSHAMMAR  SWE,54.33,100m-freestyle-women,2000
600,B,Jenny THOMPSON  USA,54.43,100m-freestyle-women,2000
601,B,Dara TORRES  USA,54.43,100m-freestyle-women,2000
602,5.,Martina MORAVCOVA  SVK,54.72,100m-freestyle-women,2000
603,6.,Helene MULLER  RSA,55.19,100m-freestyle-women,2000
604,7.,Sumika MINAMOTO  JPN,55.53,100m-freestyle-women,2000
605,8.,Wilma VAN HOFWEGEN  NED,55.58,100m-freestyle-women,2000
606,G,Misty HYMAN  USA,02.05.88,200m-butterfly-women,2000
607,S,Susan O'NEILL  AUS,02.06.58,200m-butterfly-women,2000
608,B,Petria THOMAS  AUS,02.07.12,200m-butterfly-women,2000
609,4.,Mette JACOBSEN  DEN,02.08.24,200m-butterfly-women,2000
610,5.,Otylia JEDRZEJCZAK  POL,02.08.48,200m-butterfly-women,2000
611,6.,Kaitlin SANDENO  USA,02.08.81,200m-butterfly-women,2000
612,7.,Yuko NAKANISHI  JPN,02.09.66,200m-butterfly-women,2000
613,8.,Maki MITA  JPN,02.10.72,200m-butterfly-women,2000
614,G,Yana KLOCHKOVA  UKR,04.33.59,400m-individual-medley-women,2000
615,S,Yasuko TAJIMA  JPN,04.35.96,400m-individual-medley-women,2000
616,B,Beatrice COADA  ROU,04.37.18,400m-individual-medley-women,2000
617,4.,Kaitlin SANDENO  USA,04.41.03,400m-individual-medley-women,2000
618,5.,Nicole HETZER  GER,04.43.56,400m-individual-medley-women,2000
619,6.,Maddy CRIPPEN  USA,04.44.63,400m-individual-medley-women,2000
620,7.,Joanne MALAR  CAN,04.45.17,400m-individual-medley-women,2000
621,8.,Jennifer REILLY  AUS,04.45.99,400m-individual-medley-women,2000
622,G,Susan O'NEILL  AUS,01.58.24,200m-freestyle-women,2000
623,S,Martina MORAVCOVA  SVK,01.58.32,200m-freestyle-women,2000
624,B,Claudia POLL  CRC,01.58.81,200m-freestyle-women,2000
625,4.,Nadejda TCHEMEZOVA  RUS,01.58.86,200m-freestyle-women,2000
626,4.,Kerstin KIELGASS  GER,01.58.86,200m-freestyle-women,2000
627,6.,Natalya BARANOVSKAYA  BLR,01.59.28,200m-freestyle-women,2000
628,7.,Camelia POTEC  ROU,01.59.46,200m-freestyle-women,2000
629,8.,Luna WANG  CHN,01.59.55,200m-freestyle-women,2000
630,G,Brooke BENNETT  USA,04.05.80,400m-freestyle-women,2000
631,S,Diana MUNZ  USA,04.07.07,400m-freestyle-women,2000
632,B,Claudia POLL  CRC,04.07.83,400m-freestyle-women,2000
633,4.,Janelle ATKINSON  JAM,04.08.79,400m-freestyle-women,2000
634,5.,Nadejda TCHEMEZOVA  RUS,04.10.37,400m-freestyle-women,2000
635,6.,Hannah STOCKBAUER  GER,04.10.38,400m-freestyle-women,2000
636,7.,Carla GEURTS  NED,04.12.36,400m-freestyle-women,2000
637,8.,Hua CHEN  CHN,04.13.11,400m-freestyle-women,2000
638,G,Yana KLOCHKOVA  UKR,02.10.68,200m-individual-medley-women,2000
639,S,Beatrice COADA  ROU,02.12.57,200m-individual-medley-women,2000
640,B,Cristina TEUSCHER  USA,02.13.32,200m-individual-medley-women,2000
641,4.,Marianne LIMPERT  CAN,02.13.44,200m-individual-medley-women,2000
642,5.,Joanne MALAR  CAN,02.13.70,200m-individual-medley-women,2000
643,6.,Oxana VEREVKA  RUS,02.13.88,200m-individual-medley-women,2000
644,7.,Gabrielle ROSE  USA,02.14.82,200m-individual-medley-women,2000
645,8.,Tomoko HAGIWARA  JPN,02.15.64,200m-individual-medley-women,2000
646,G,Brooke BENNETT  USA,08.19.67,800m-freestyle-women,2000
647,S,Yana KLOCHKOVA  UKR,08.22.66,800m-freestyle-women,2000
648,B,Kaitlin SANDENO  USA,08.24.29,800m-freestyle-women,2000
649,4.,Flavia RIGAMONTI  SUI,08.25.91,800m-freestyle-women,2000
650,5.,Hannah STOCKBAUER  GER,08.30.11,800m-freestyle-women,2000
651,6.,Hua CHEN  CHN,08.30.58,800m-freestyle-women,2000
652,7.,Jana HENKE  GER,08.31.97,800m-freestyle-women,2000
653,8.,Sachiko YAMADA  JPN,08.37.39,800m-freestyle-women,2000
654,G,Domenico FIORAVANTI  ITA,01.00.46,100m-breaststroke-men,2000
655,S,Ed MOSES  USA,01.00.73,100m-breaststroke-men,2000
656,B,Roman SLUDNOV  RUS,01.00.91,100m-breaststroke-men,2000
657,4.,Kosuke KITAJIMA  JPN,01.01.34,100m-breaststroke-men,2000
658,5.,Daniel MALEK  CZE,01.01.50,100m-breaststroke-men,2000
659,6.,Morgan KNABE  CAN,01.01.58,100m-breaststroke-men,2000
660,7.,Brett PETERSEN  RSA,01.01.63,100m-breaststroke-men,2000
661,8.,Remo LUETOLF  SUI,01.01.88,100m-breaststroke-men,2000
662,G,Megan QUANN  USA,01.07.05,100m-breaststroke-women,2000
663,S,Leisel JONES  AUS,01.07.49,100m-breaststroke-women,2000
664,B,Penelope HEYNS  RSA,01.07.55,100m-breaststroke-women,2000
665,4.,Sarah POEWE  RSA,01.07.85,100m-breaststroke-women,2000
666,5.,Ágnes KOVÁCS  HUN,01.08.09,100m-breaststroke-women,2000
667,6.,Masami TANAKA  JPN,01.08.37,100m-breaststroke-women,2000
668,7.,Tarnee WHITE  AUS,01.09.09,100m-breaststroke-women,2000
669,8.,Sylvia GERASCH  GER,01.09.86,100m-breaststroke-women,2000
670,G,Ágnes KOVÁCS  HUN,02.24.35,200m-breaststroke-women,2000
671,S,Kristy KOWAL  USA,02.24.56,200m-breaststroke-women,2000
672,B,Amanda BEARD  USA,02.25.35,200m-breaststroke-women,2000
673,4.,Hui QI  CHN,02.25.36,200m-breaststroke-women,2000
674,5.,Olga BAKALDINA  RUS,02.25.47,200m-breaststroke-women,2000
675,6.,Sarah POEWE  RSA,02.25.72,200m-breaststroke-women,2000
676,7.,Masami TANAKA  JPN,02.26.98,200m-breaststroke-women,2000
677,8.,Xuejuan LUO  CHN,02.27.33,200m-breaststroke-women,2000
678,G,Inge DE BRUIJN  NED,56.61,100m-butterfly-women,2000
679,S,Martina MORAVCOVA  SVK,57.97,100m-butterfly-women,2000
680,B,Dara TORRES  USA,58.2,100m-butterfly-women,2000
681,4.,Petria THOMAS  AUS,58.49,100m-butterfly-women,2000
682,5.,Jenny THOMPSON  USA,58.73,100m-butterfly-women,2000
683,6.,Junko ONISHI  JPN,59.13,100m-butterfly-women,2000
684,7.,Susan O'NEILL  AUS,59.27,100m-butterfly-women,2000
685,8.,Diana MOCANU  ROU,59.43,100m-butterfly-women,2000
686,G,United States of America,07.57.80,4x200m-freestyle-relay-women,2000
687,S,Australia,07.58.52,4x200m-freestyle-relay-women,2000
688,B,Germany,07.58.64,4x200m-freestyle-relay-women,2000
689,4.,Romania  ROU,08.01.63,4x200m-freestyle-relay-women,2000
690,5.,Canada  CAN,08.02.65,4x200m-freestyle-relay-women,2000
691,6.,Great Britain  GBR,08.03.69,4x200m-freestyle-relay-women,2000
692,7.,Italy  ITA,08.04.68,4x200m-freestyle-relay-women,2000
693,8.,France  FRA,08.05.99,4x200m-freestyle-relay-women,2000
694,G,Jack MEDICA  USA,4.44.5,400m-freestyle-men,1936
695,S,Shunpei UTO  JPN,4.45.6,400m-freestyle-men,1936
696,B,Shozo MAKINO  JPN,4.48.1,400m-freestyle-men,1936
697,4.,Ralph FLANAGAN  USA,4.52.7,400m-freestyle-men,1936
698,5.,Hiroshi NEGAMI  JPN,4.53.6,400m-freestyle-men,1936
699,6.,Jean TARIS  FRA,4.53.8,400m-freestyle-men,1936
700,7.,Robert LEIVERS  GBR,5.00.9,400m-freestyle-men,1936
701,G,Tetsuo HAMURO  JPN,2.41.5,200m-breaststroke-men,1936
702,S,Erwin SIETAS  GER,2.42.9,200m-breaststroke-men,1936
703,B,Reizo KOIKE  JPN,2.44.2,200m-breaststroke-men,1936
704,4.,John Herbert HIGGINS  USA,2.45.2,200m-breaststroke-men,1936
705,5.,Saburo ITO  JPN,2.47.6,200m-breaststroke-men,1936
706,6.,Joachim BALKE  GER,2.47.8,200m-breaststroke-men,1936
707,7.,Teofilo YLDEFONZO  PHI,2.51.1,200m-breaststroke-men,1936
708,G,Ferenc CSÍK  HUN,0.57.6,100m-freestyle-men,1936
709,S,Masanori YUSA  JPN,0.57.9,100m-freestyle-men,1936
710,B,Shigeo ARAI  JPN,0.58.0,100m-freestyle-men,1936
711,4.,Masaharu TAGUCHI  JPN,0.58.1,100m-freestyle-men,1936
712,5.,Helmuth FISCHER  GER,0.59.3,100m-freestyle-men,1936
713,6.,Peter FICK  USA,0.59.7,100m-freestyle-men,1936
714,7.,Arthur LINDEGREN  USA,0.59.9,100m-freestyle-men,1936
715,G,Japan,8.51.5,4x200m-freestyle-relay-men,1936
716,S,United States of America,9.03.0,4x200m-freestyle-relay-men,1936
717,B,Hungary,9.12.3,4x200m-freestyle-relay-men,1936
718,4.,France,9.18.2,4x200m-freestyle-relay-men,1936
719,5.,Germany,9.19.0,4x200m-freestyle-relay-men,1936
720,6.,Great Britain,9.21.5,4x200m-freestyle-relay-men,1936
721,7.,Canada,9.27.5,4x200m-freestyle-relay-men,1936
722,8.,Sweden,9.37.5,4x200m-freestyle-relay-men,1936
723,G,Adolph KIEFER  USA,1.05.9,100m-backstroke-men,1936
724,S,Albert VANDEWEGHE  USA,1.07.7,100m-backstroke-men,1936
725,B,Masaji KIYOKAWA  JPN,1.08.4,100m-backstroke-men,1936
726,4.,Taylor DRYSDALE  USA,1.09.4,100m-backstroke-men,1936
727,5.,Kiichi YOSHIDA  JPN,1.09.7,100m-backstroke-men,1936
728,6.,Yasuhiko KOJIMA  JPN,1.10.4,100m-backstroke-men,1936
729,7.,Percival Cole OLIVER  AUS,1.10.7,100m-backstroke-men,1936
730,G,Nida SENFF  NED,1.18.9,100m-backstroke-women,1936
731,S,Hendrika MASTENBROEK  NED,1.19.2,100m-backstroke-women,1936
732,B,Alice BRIDGES  USA,1.19.4,100m-backstroke-women,1936
733,4.,Edith MOTRIDGE  USA,1.19.6,100m-backstroke-women,1936
734,5.,Tove Brunnstrom MADSEN  DEN,1.20.4,100m-backstroke-women,1936
735,6.,Lorna FRAMPTON  GBR,1.20.6,100m-backstroke-women,1936
736,7.,Phyllis HARDING  GBR,1.21.5,100m-backstroke-women,1936
737,G,Netherlands,4.36.0,4x100m-freestyle-relay-women,1936
738,S,Germany,4.36.8,4x100m-freestyle-relay-women,1936
739,B,United States of America,4.40.2,4x100m-freestyle-relay-women,1936
740,4.,Hungary,4.48.0,4x100m-freestyle-relay-women,1936
741,4.,Canada,4.48.0,4x100m-freestyle-relay-women,1936
742,6.,Great Britain,4.51.0,4x100m-freestyle-relay-women,1936
743,7.,Denmark,4.51.4,4x100m-freestyle-relay-women,1936
744,G,Hendrika MASTENBROEK  NED,1.05.9,100m-freestyle-women,1936
